id,en,ru,be,zh,sp,fi,bel,pl,emoji
$$$tutorial,"To correct or create a line, right-click on it and create a comment. After a while the translation will be accepted or, on the contrary, rejected.","Для того, чтобы корректировать или создать строку, нажмите на неё правой кнопкой мыши и создайте комментарий. Через некоторое время перевод будет принят или наоборот, отклонён.","Для таго, каб карэктаваць ці стварыць радок, націсніце на яе правай кнопкай мышы і стварыце каментар. Праз некаторы час перавод будзе прыняты ці наадварот, адхілены.",要修改或创建一行，请右击该行并创建注释。一段时间后，翻译将被接受或拒绝。,"Para corregir o crear una línea, haz clic con el botón derecho del ratón sobre ella y crea un comentario. Al cabo de un rato, la traducción será aceptada o, por el contrario, rechazada.","Jos tarvitset korjata tai tehdä uuden rivin, klikkaa riville oikean hiirin nappulan avulla ja tee komentti. Jonkun ajan kuluttua uusi käännos luvataan, tai muuten, se poistetaan.","Dlia taho, kab karektavać ci stvaryć radok, nacisnicie na jaje pravaj knopkaj myšy i stvarycie kamientar. Praz niekatory čas pieravod budzie pryniaty ci naadvarot, adchilieny.","Aby edytować lub utworzyć linię, kliknij ją prawym przyciskiem myszy i utwórz komentarz. Po chwili tłumaczenie zostanie zaakceptowane lub, przeciwnie, odrzucone.","✍ ⚖️ ✍ ⏸, ▶️-🖊 🔛 ⚫️ & ✍ 🏤. ⏮ ⏪, 📨 🔜 🚫 ⚖️ 🚫."
$$$langname,English,Русский,Беларуская,中文,Español,Suomi,Bielaruskaja lacinka,PL,🦲
$$$englishname,English,Russian,Belarussian,Chinese,Spanish,Finnish,Belarusian Latin,Polish,Emoji
$$$--,-,-,-,-,-,-,-,-,-
$stamina,Stamina,Выносливость,Цягавітасць,耐力,Resistencia,Energia,Ciahavitaść,Wytrzymałość,💪
$play,Play,Играть,Гуляць,游戏,Jugar,Pelaa,Huliać,Grać,🤾
$bullets,Ammo,Пули,Кулі,子弹,Balas,Ammukset,Kuli,Kule,🚅
$settings,Settings,Настройки,Налады,设置,Ajustes,Asetukset,Nalady,Ustawienia,⚒
$health,HP,Здоровье,Здароўе,健康,Salud,HP,Zdaroŭje,Zdrowie,🏥
$createdby,Wallpaper made by,Обои сделал,Шпалеры зрабіў,壁纸制作：,Papel pintado de,Taustakuvan teki,Špalery zrabiŭ,Tapeta wykonana przez,⚒ 
$save,Save,Сохранить,Захаваць,节省,Guardar,Tallenna,Zachavać,Zapisz,🖊
$fullscreen,Fullscreen (F11),Полноэкранный режим (F11),Поўнаэкранны рэжым (F11),全屏模式 (F11),Modo de pantalla completa (F11),Kokonäyttö (F11),Poŭnaekranny režym (F11),Pełny ekran (F11),🌕-🖥 📳 (F1⃣1⃣)
$graphicssettings,Graphical settings,Настройки графики,Настройкі графікі,图形设置,Ajustes gráficos,Grafiikka-asetukset,Nastrojki hrafiki,Ustawienia graficzne,🖥 ⚒
$other,Other,Другие,Іншыя,其他,Otros,Muu,Inšyja,Inne,🎏
